CHROM	POS	QUALITYSCORE
9	1330987	0
9	1587840	0
9	1587851	5.5
9	4290451	10
9	5421392	10
9	6265167	10
9	8784629	0
9	9316129	0
9	11234585	10
9	11234597	5.5
9	11234601	0
9	11234815	0
9	11456085	0
9	11502744	0
9	11784822	20
9	12725329	5.5
9	14000334	10
9	16734325	10
9	19297954	10
9	19297960	5.5
10	1150563	5.5
10	1153815	10
10	1733963	0
10	1931127	0
10	1921145	0
10	1931146	0
10	2017298	10
10	2469629	5.5
10	4398318	5.5
10	5465440	10
10	5535192	20
10	5535764	20
10	5535767	10
10	5762223	5.5
10	5878789	20
10	5878804	0
10	8790708	0
10	8790888	0
10	8802867	0
10	8809030	20
